name,value
Kurnai,Kurnai
Bidwell,Bidwell
Kuring-gai,Kuring-gai
Ngarigo,Ngarigo
Jaitmatang,Jaitmatang
Yuin,Yuin
Ngunawal,Ngunawal
Gundungurra,Gundungurra
Tharawal,Tharawal
Eora,Eora
Dharug,Dharug
Darkinung,Darkinung
Wonnarua,Wonnarua
Geawegal,Geawegal
Biripi,Biripi
Awabakal,Awabakal
Worimi,Worimi
Wiradjuri,Wiradjuri
Wongaibon,Wongaibon
Dainggatti,Dainggatti
Nganyaywana,Nganyaywana
Wailwan,Wailwan
Kamilaroi,Kamilaroi
Gumbainggir,Gumbainggir
Ngarabal,Ngarabal
Bundjalung,Bundjalung
Bigambul,Bigambul
Yuggera,Yuggera
Waka Waka,Waka Waka
Barunggam,Barunggam
Gubbi Gubbi,Gubbi Gubbi
Badtjala,Badtjala
Gureng Gureng,Gureng Gureng
Wuli-wuli,Wuli-wuli
Yiman,Yiman
Gungabula,Gungabula
Garingbal,Garingbal
Wadjigu,Wadjigu
Bayali,Bayali
Gangulu,Gangulu
Gayiri,Gayiri
Darumbal,Darumbal
Nguri,Nguri
Mandandanji,Mandandanji
Gabalbara,Gabalbara
Wangan,Wangan
Barna,Barna
Baradha,Baradha
Guwinmal,Guwinmal
Yuwi,Yuwi
Yambina,Yambina
Yangga,Yangga
Biri,Biri
Giya,Giya
Yuru,Yuru
Bindal,Bindal
Yilba,Yilba
Miyan,Miyan
Gugu-Badhun,Gugu-Badhun
Nyawaygi,Nyawaygi
Wargamaygan,Wargamaygan
Djirbalngan,Djirbalngan
Mbabaram,Mbabaram
Yidinjdji,Yidinjdji
Djabuganjdji,Djabuganjdji
Agwamin,Agwamin
Kuku-yalanji,Kuku-yalanji
